base_dataset,algorithm,fraction,n_sequences,mean_time_s,std_time_s,median_time_s,min_time_s,max_time_s,cv_time,ci95_s,mean_n_rules,std_n_rules,mean_mem_mb,max_mem_mb,mean_mem_spmf_mb,max_mem_spmf_mb,mean_mem_rss_mb,max_mem_rss_mb,n_valid_runs
Leviathan,CMRules,1.0,5834,0.929714583636572,0.00036638908534813004,0.9295787089504302,0.9294355418533087,0.9301295001059771,0.000394087703685363,0.00041460828062561195,0.0,0.0,319.1641108194987,325.90006256103516,319.1641108194987,325.90006256103516,478.4947916666667,479.109375,3
Leviathan,RuleGrowth,0.2,1166,0.2210240556548039,0.0024024280349747604,0.21998387528583407,0.2193169998936355,0.22377129178494215,0.010869531951431026,0.002718603246494708,0.0,0.0,73.72395833333333,74.46875,0.0,0.0,73.72395833333333,74.46875,3
Leviathan,RuleGrowth,0.4,2333,0.22225695879509053,0.002305484888198816,0.22345870919525623,0.2195988749153912,0.2237132922746241,0.01037306053631533,0.0026089017487958338,0.0,0.0,81.71875,83.328125,0.0,0.0,81.71875,83.328125,3
Leviathan,RuleGrowth,0.6,3500,0.27598930538321537,0.0018223051628700308,0.2752410829998553,0.27466020826250315,0.2780666248872876,0.006602810787685169,0.002062132417604168,0.0,0.0,82.83333333333333,83.40625,0.0,0.0,82.83333333333333,83.40625,3
Leviathan,RuleGrowth,0.8,4667,0.29596840248753625,0.031967308864363,0.27896870858967304,0.27609279099851847,0.3328437078744173,0.1080091948859615,0.03617441538109146,0.0,0.0,83.34895833333333,83.640625,0.0,0.0,83.34895833333333,83.640625,3
Leviathan,RuleGrowth,1.0,5834,0.29041826414565247,0.03224153952617731,0.27492350013926625,0.2688492499291897,0.3274820423685014,0.11101760290808474,0.0364847365880718,0.0,0.0,87.765625,89.71875,0.0,0.0,87.765625,89.71875,3
Leviathan,ERMiner,0.2,1166,0.22191315268476805,0.002029807828509391,0.22180979186668992,0.21993699995800853,0.22399266622960567,0.009146856794886658,0.0022969437885384894,0.0,0.0,82.16666666666667,83.078125,0.0,0.0,82.16666666666667,83.078125,3
Leviathan,ERMiner,0.4,2333,0.27336319427316386,0.002702519237633683,0.2745280829258263,0.27027358300983906,0.27528791688382626,0.009886185464064832,0.0030581884103023805,0.0,0.0,92.54166666666667,94.015625,0.0,0.0,92.54166666666667,94.015625,3
Leviathan,ERMiner,0.6,3500,0.27349972259253263,0.0012553220099945173,0.27392950002104044,0.2720859586261213,0.2744837091304362,0.004589847470758609,0.0014205305807643933,0.0,0.0,100.625,106.5,0.0,0.0,100.625,106.5,3
Leviathan,ERMiner,0.8,4667,0.3294371116595964,0.0033071652181547776,0.32965429220348597,0.3260267088189721,0.332630333956331,0.010038836248576734,0.0037424097487542074,0.0,0.0,115.03645833333333,115.96875,0.0,0.0,115.03645833333333,115.96875,3
Leviathan,ERMiner,1.0,5834,0.328858832983921,0.0038735206288751326,0.33078333316370845,0.3243999578990042,0.33139320788905025,0.011778672914844655,0.004383301228473548,0.0,0.0,118.10416666666667,119.046875,0.0,0.0,118.10416666666667,119.046875,3
